Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
199	-0.1733	13.8489	0.08349	10.76	11.441	11.861	12.091	12.456	12.709	13.094	13.849	14.655	15.111	15.428	15.914	16.239	16.874	18.032
200	-0.1733	13.8529	0.08349	10.763	11.444	11.865	12.095	12.459	12.713	13.098	13.853	14.659	15.115	15.433	15.919	16.244	16.879	18.037
201	-0.1733	13.8569	0.08349	10.766	11.447	11.868	12.098	12.463	12.716	13.102	13.857	14.664	15.119	15.437	15.923	16.248	16.884	18.043
202	-0.1733	13.8608	0.0835	10.769	11.45	11.871	12.101	12.466	12.72	13.105	13.861	14.668	15.124	15.442	15.928	16.253	16.889	18.048
203	-0.1733	13.8647	0.0835	10.772	11.453	11.875	12.105	12.47	12.723	13.109	13.865	14.672	15.128	15.446	15.932	16.258	16.894	18.053
204	-0.1733	13.8685	0.0835	10.775	11.457	11.878	12.108	12.473	12.727	13.113	13.869	14.676	15.132	15.45	15.937	16.262	16.898	18.058
205	-0.1733	13.8723	0.0835	10.778	11.46	11.881	12.112	12.477	12.73	13.116	13.872	14.68	15.136	15.455	15.941	16.267	16.903	18.063
206	-0.1733	13.8761	0.08351	10.78	11.463	11.884	12.115	12.48	12.734	13.12	13.876	14.684	15.141	15.459	15.946	16.271	16.908	18.069
207	-0.1733	13.8799	0.08351	10.783	11.466	11.887	12.118	12.483	12.737	13.123	13.88	14.688	15.145	15.463	15.95	16.276	16.913	18.074
208	-0.1733	13.8836	0.08351	10.786	11.469	11.891	12.121	12.487	12.741	13.127	13.884	14.692	15.149	15.467	15.954	16.28	16.917	18.078
209	-0.1733	13.8872	0.08351	10.789	11.472	11.894	12.124	12.49	12.744	13.13	13.887	14.696	15.153	15.471	15.958	16.284	16.922	18.083
210	-0.1733	13.8909	0.08351	10.792	11.475	11.897	12.128	12.493	12.747	13.134	13.891	14.7	15.157	15.476	15.963	16.289	16.926	18.088
211	-0.1733	13.8945	0.08351	10.794	11.478	11.9	12.131	12.497	12.751	13.137	13.895	14.704	15.161	15.48	15.967	16.293	16.93	18.093
212	-0.1733	13.898	0.08352	10.797	11.48	11.903	12.134	12.5	12.754	13.14	13.898	14.707	15.165	15.484	15.971	16.297	16.935	18.098
213	-0.1733	13.9016	0.08352	10.8	11.483	11.906	12.137	12.503	12.757	13.144	13.902	14.711	15.169	15.488	15.975	16.302	16.939	18.103
214	-0.1733	13.9051	0.08352	10.802	11.486	11.909	12.14	12.506	12.76	13.147	13.905	14.715	15.172	15.492	15.979	16.306	16.944	18.107
215	-0.1733	13.9085	0.08352	10.805	11.489	11.912	12.143	12.509	12.763	13.15	13.909	14.719	15.176	15.495	15.983	16.31	16.948	18.111
216	-0.1733	13.912	0.08352	10.808	11.492	11.915	12.146	12.512	12.767	13.154	13.912	14.722	15.18	15.499	15.987	16.314	16.952	18.116
217	-0.1733	13.9154	0.08352	10.81	11.495	11.918	12.149	12.515	12.77	13.157	13.915	14.726	15.184	15.503	15.991	16.318	16.956	18.12
218	-0.1733	13.9187	0.08352	10.813	11.498	11.92	12.152	12.518	12.773	13.16	13.919	14.729	15.187	15.507	15.995	16.322	16.96	18.125
