Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
162	0.2979	14.1233	0.07578	11.079	11.784	12.209	12.439	12.798	13.044	13.414	14.123	14.858	15.263	15.542	15.962	16.239	16.771	17.711
163	0.2967	14.1295	0.07579	11.084	11.789	12.214	12.444	12.803	13.05	13.42	14.13	14.865	15.27	15.549	15.969	16.247	16.779	17.72
164	0.2956	14.1357	0.0758	11.089	11.794	12.22	12.449	12.809	13.056	13.426	14.136	14.872	15.277	15.556	15.977	16.254	16.787	17.729
165	0.2945	14.1418	0.07581	11.094	11.799	12.225	12.455	12.814	13.061	13.432	14.142	14.878	15.284	15.563	15.984	16.262	16.795	17.737
166	0.2934	14.1478	0.07583	11.098	11.804	12.23	12.46	12.819	13.066	13.437	14.148	14.885	15.291	15.571	15.992	16.269	16.803	17.746
167	0.2923	14.1538	0.07584	11.103	11.809	12.235	12.465	12.825	13.072	13.443	14.154	14.891	15.298	15.577	15.999	16.277	16.811	17.755
168	0.2912	14.1597	0.07585	11.108	11.814	12.24	12.47	12.83	13.077	13.448	14.16	14.897	15.304	15.584	16.006	16.284	16.818	17.763
169	0.2901	14.1655	0.07586	11.112	11.818	12.245	12.475	12.835	13.082	13.454	14.166	14.904	15.311	15.591	16.013	16.291	16.826	17.772
170	0.289	14.1713	0.07587	11.117	11.823	12.25	12.48	12.84	13.088	13.459	14.171	14.91	15.317	15.597	16.02	16.298	16.833	17.78
171	0.2879	14.177	0.07588	11.121	11.828	12.254	12.485	12.845	13.093	13.465	14.177	14.916	15.324	15.604	16.026	16.305	16.841	17.788
172	0.2868	14.1826	0.07589	11.125	11.832	12.259	12.49	12.85	13.098	13.47	14.183	14.922	15.33	15.61	16.033	16.312	16.848	17.796
173	0.2857	14.1882	0.07591	11.13	11.837	12.264	12.494	12.855	13.103	13.475	14.188	14.928	15.336	15.617	16.04	16.319	16.856	17.805
174	0.2847	14.1937	0.07592	11.134	11.841	12.268	12.499	12.86	13.108	13.48	14.194	14.934	15.342	15.623	16.047	16.326	16.863	17.813
175	0.2836	14.1992	0.07593	11.138	11.846	12.273	12.504	12.865	13.113	13.485	14.199	14.94	15.348	15.63	16.053	16.333	16.87	17.821
176	0.2825	14.2046	0.07594	11.142	11.85	12.278	12.508	12.87	13.118	13.49	14.205	14.946	15.355	15.636	16.06	16.34	16.877	17.828
177	0.2814	14.2099	0.07595	11.147	11.855	12.282	12.513	12.874	13.123	13.495	14.21	14.951	15.36	15.642	16.066	16.346	16.884	17.836
178	0.2804	14.2152	0.07596	11.151	11.859	12.287	12.517	12.879	13.127	13.5	14.215	14.957	15.366	15.648	16.073	16.353	16.891	17.844
179	0.2793	14.2205	0.07597	11.155	11.863	12.291	12.522	12.884	13.132	13.505	14.221	14.963	15.372	15.654	16.079	16.359	16.898	17.851
180	0.2783	14.2256	0.07598	11.159	11.867	12.295	12.526	12.888	13.137	13.51	14.226	14.968	15.378	15.66	16.085	16.366	16.905	17.859
181	0.2772	14.2307	0.07599	11.163	11.872	12.3	12.531	12.893	13.141	13.515	14.231	14.974	15.384	15.666	16.091	16.372	16.911	17.866
182	0.2762	14.2358	0.076	11.167	11.876	12.304	12.535	12.897	13.146	13.519	14.236	14.979	15.389	15.672	16.097	16.378	16.918	17.873
183	0.2751	14.2408	0.07601	11.171	11.88	12.308	12.54	12.902	13.151	13.524	14.241	14.985	15.395	15.678	16.103	16.384	16.925	17.881
184	0.2741	14.2458	0.07603	11.174	11.884	12.312	12.544	12.906	13.155	13.529	14.246	14.99	15.401	15.684	16.11	16.391	16.932	17.888
185	0.273	14.2507	0.07604	11.178	11.888	12.316	12.548	12.91	13.159	13.533	14.251	14.995	15.406	15.689	16.116	16.397	16.938	17.896
186	0.272	14.2555	0.07605	11.182	11.892	12.32	12.552	12.915	13.164	13.538	14.256	15	15.412	15.695	16.121	16.403	16.944	17.903
187	0.271	14.2603	0.07606	11.185	11.895	12.324	12.556	12.919	13.168	13.542	14.26	15.006	15.417	15.7	16.127	16.409	16.951	17.91
188	0.27	14.265	0.07607	11.189	11.899	12.328	12.56	12.923	13.172	13.547	14.265	15.011	15.422	15.706	16.133	16.415	16.957	17.917
189	0.2689	14.2697	0.07608	11.193	11.903	12.332	12.564	12.927	13.177	13.551	14.27	15.016	15.428	15.711	16.139	16.421	16.963	17.923
190	0.2679	14.2743	0.07609	11.196	11.907	12.336	12.568	12.931	13.181	13.555	14.274	15.021	15.433	15.717	16.144	16.426	16.969	17.93
191	0.2669	14.2789	0.0761	11.2	11.911	12.34	12.572	12.935	13.185	13.56	14.279	15.026	15.438	15.722	16.15	16.432	16.975	17.937
192	0.2659	14.2834	0.07611	11.203	11.914	12.344	12.576	12.939	13.189	13.564	14.283	15.031	15.443	15.727	16.155	16.438	16.981	17.944
193	0.2649	14.2879	0.07612	11.207	11.918	12.348	12.58	12.943	13.193	13.568	14.288	15.035	15.448	15.732	16.161	16.444	16.987	17.95
194	0.2639	14.2923	0.07613	11.21	11.922	12.351	12.583	12.947	13.197	13.572	14.292	15.04	15.453	15.738	16.166	16.449	16.993	17.957
195	0.2629	14.2967	0.07613	11.214	11.925	12.355	12.587	12.951	13.201	13.576	14.297	15.045	15.458	15.742	16.171	16.454	16.999	17.963
196	0.2619	14.3011	0.07614	11.218	11.929	12.359	12.591	12.955	13.205	13.58	14.301	15.05	15.463	15.748	16.177	16.46	17.005	17.969
197	0.2609	14.3053	0.07615	11.221	11.932	12.362	12.595	12.959	13.209	13.584	14.305	15.054	15.468	15.752	16.182	16.465	17.01	17.976
198	0.2599	14.3096	0.07616	11.224	11.936	12.366	12.598	12.963	13.213	13.588	14.31	15.059	15.473	15.757	16.187	16.47	17.016	17.982
199	0.2589	14.3137	0.07617	11.227	11.939	12.369	12.602	12.966	13.216	13.592	14.314	15.063	15.477	15.762	16.192	16.476	17.021	17.988
200	0.2579	14.3179	0.07618	11.231	11.943	12.373	12.606	12.97	13.22	13.596	14.318	15.068	15.482	15.767	16.197	16.481	17.027	17.994
201	0.2569	14.322	0.07619	11.234	11.946	12.376	12.609	12.974	13.224	13.6	14.322	15.072	15.487	15.772	16.202	16.486	17.033	18
202	0.256	14.326	0.0762	11.237	11.949	12.38	12.612	12.977	13.227	13.604	14.326	15.076	15.491	15.777	16.207	16.491	17.038	18.006
203	0.255	14.33	0.07621	11.24	11.952	12.383	12.616	12.981	13.231	13.607	14.33	15.081	15.496	15.781	16.212	16.496	17.043	18.012
204	0.254	14.334	0.07622	11.243	11.956	12.386	12.619	12.984	13.235	13.611	14.334	15.085	15.5	15.786	16.217	16.501	17.049	18.018
205	0.253	14.3379	0.07623	11.246	11.959	12.39	12.623	12.987	13.238	13.615	14.338	15.089	15.505	15.791	16.222	16.506	17.054	18.024
206	0.2521	14.3417	0.07623	11.249	11.962	12.393	12.626	12.991	13.242	13.618	14.342	15.093	15.509	15.795	16.226	16.511	17.059	18.03
207	0.2511	14.3456	0.07624	11.252	11.965	12.396	12.629	12.994	13.245	13.622	14.346	15.098	15.513	15.799	16.231	16.516	17.064	18.035
208	0.2502	14.3493	0.07625	11.255	11.968	12.399	12.632	12.998	13.248	13.625	14.349	15.102	15.517	15.804	16.235	16.52	17.069	18.041
209	0.2492	14.3531	0.07626	11.258	11.971	12.403	12.636	13.001	13.252	13.629	14.353	15.106	15.522	15.808	16.24	16.525	17.074	18.047
210	0.2482	14.3568	0.07627	11.261	11.974	12.406	12.639	13.004	13.255	13.632	14.357	15.11	15.526	15.813	16.245	16.53	17.079	18.052
211	0.2473	14.3604	0.07628	11.264	11.977	12.409	12.642	13.007	13.258	13.636	14.36	15.114	15.53	15.817	16.249	16.535	17.084	18.058
212	0.2463	14.364	0.07628	11.267	11.98	12.412	12.645	13.011	13.262	13.639	14.364	15.117	15.534	15.821	16.253	16.539	17.089	18.063
213	0.2454	14.3676	0.07629	11.27	11.983	12.415	12.648	13.014	13.265	13.643	14.368	15.121	15.538	15.825	16.258	16.543	17.093	18.068
214	0.2445	14.3711	0.0763	11.272	11.986	12.418	12.651	13.017	13.268	13.646	14.371	15.125	15.542	15.829	16.262	16.548	17.098	18.074
215	0.2435	14.3746	0.07631	11.275	11.989	12.421	12.654	13.02	13.271	13.649	14.375	15.129	15.546	15.833	16.266	16.552	17.103	18.079
216	0.2426	14.3781	0.07632	11.278	11.992	12.424	12.657	13.023	13.274	13.652	14.378	15.133	15.55	15.837	16.271	16.557	17.108	18.084
217	0.2417	14.3815	0.07632	11.281	11.995	12.427	12.66	13.026	13.278	13.656	14.382	15.136	15.554	15.841	16.275	16.561	17.112	18.089
218	0.2407	14.3849	0.07633	11.283	11.998	12.43	12.663	13.029	13.281	13.659	14.385	15.14	15.558	15.845	16.279	16.565	17.117	18.094
219	0.2398	14.3882	0.07634	11.286	12	12.432	12.666	13.032	13.284	13.662	14.388	15.144	15.561	15.849	16.283	16.57	17.121	18.1
220	0.2389	14.3915	0.07635	11.289	12.003	12.435	12.669	13.035	13.287	13.665	14.392	15.147	15.565	15.853	16.287	16.574	17.126	18.105
221	0.2379	14.3947	0.07635	11.291	12.006	12.438	12.672	13.038	13.289	13.668	14.395	15.151	15.569	15.857	16.291	16.578	17.13	18.109
222	0.237	14.398	0.07636	11.294	12.008	12.441	12.674	13.041	13.292	13.671	14.398	15.154	15.572	15.86	16.295	16.582	17.134	18.114
223	0.2361	14.4012	0.07637	11.296	12.011	12.443	12.677	13.044	13.295	13.674	14.401	15.158	15.576	15.864	16.299	16.586	17.139	18.119
224	0.2352	14.4043	0.07638	11.299	12.013	12.446	12.68	13.046	13.298	13.677	14.404	15.161	15.58	15.868	16.303	16.59	17.143	18.124
225	0.2343	14.4074	0.07638	11.301	12.016	12.449	12.682	13.049	13.301	13.68	14.407	15.164	15.583	15.871	16.306	16.594	17.147	18.128
226	0.2334	14.4105	0.07639	11.304	12.019	12.451	12.685	13.052	13.304	13.683	14.411	15.168	15.587	15.875	16.31	16.598	17.151	18.133
227	0.2325	14.4135	0.0764	11.306	12.021	12.454	12.688	13.054	13.306	13.685	14.414	15.171	15.59	15.879	16.314	16.602	17.156	18.138
228	0.2316	14.4165	0.0764	11.309	12.024	12.456	12.69	13.057	13.309	13.688	14.417	15.174	15.593	15.882	16.318	16.605	17.159	18.142
229	0.2307	14.4195	0.07641	11.311	12.026	12.459	12.693	13.06	13.312	13.691	14.42	15.178	15.597	15.886	16.321	16.609	17.164	18.147
